Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
Light Me A New York Torch My Boys,Just_A_Simple_Writer,24404236,27 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"3,786",1,14,188,12,2520
[Podfic] Draco at Nineteen,artichaud,24404275,27 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,16,1,14,61,16,1959
The Kiss,TwilightToMidnight,24404677,04 Jun 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"3,376",5,24,160,17,3326
The Story of Us,Minttulatte,24404785,27 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,665",1,5,15,0,563
Think of Him When We Kiss,Fogsy_Feel,24404794,05 Aug 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"37,841",16,45,123,18,4043
Musta leski,Beelsebutt,24404869,08 Jul 2012,General Audiences,F/M,No Archive Warnings Apply,Complete Work,Suomi,285,1,0,0,0,21
Slow Dancing In The Dark,SnekSnek,24404872,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,198",1,0,93,4,2064
dramione wattpad ficlets,orphan_account,24404905,27 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"3,126",5,0,18,3,539
Brilliant bastards and multicoloured messes,xyzan21,24405031,27 May 2020,Not Rated,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"2,956",1,16,472,61,5270
Being a Potter,SnarryIsTheWay91,24405241,27 May 2020,General Audiences,F/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"1,902",1,2,16,1,617
"Yksi kaikkien, kaikki yhden",Beelsebutt,24405256,18 Jul 2012,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,51
Emerald Conqueror,RedApples998,24405289,27 May 2020,Mature,F/M,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"2,234",1,5,37,16,1800
HP drabbles,Icelandic_Flutterby,24405379,27 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,140,1,0,1,0,46
Why do you build us up (to crumble and fall),bluegrass,24405385,16 Dec 2021,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"7,338",3,21,339,90,5389
Desire Is a Gift in Life 欲望是生命中的禮物,jls20011425,24405493,27 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"8,636",1,1,5,0,281
Little Miss Curse-breaker,alleychaton,24405601,27 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,318",1,2,39,1,627
Family,Antosha,24405676,27 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"6,519",1,3,37,4,1028
Fume,Antosha,24405775,27 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,100,1,0,25,0,750
Hot Lips,nauticalparamour,24406096,27 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"2,990",1,74,569,51,7869
Demigod Turned Wizard,Objudge1399,24406135,01 Feb 2021,Teen And Up Audiences,"F/M, Multi",Choose Not To Use Archive Warnings,Work in Progress,English,"104,609",21,53,224,55,9791
Potters | Twin A.U. [1],shewrites_sowhat,24406252,27 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"26,648",12,3,8,2,261
Big Butt,orphan_account,24406486,27 May 2020,Not Rated,F/M,No Archive Warnings Apply,Complete Work,English,41,1,1,5,0,389
Learn to Love,SMalady,24406546,19 May 2021,Mature,"M/M, F/M, Gen",No Archive Warnings Apply,Work in Progress,English,"85,787",37,228,505,115,17412
"Draco, the Hogwarts Slut, and Harry, the Confused Straight",MChanV,24406993,19 Jul 2020,Mature,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"15,217",9,20,253,26,8359
Different,waterwhosleepwho,24407005,27 May 2020,Teen And Up Audiences,F/M,Major Character Death,Work in Progress,English,"3,948",7,0,23,1,622
indelicate marks,accioearlgrey,24407095,30 Oct 2020,Mature,F/M,Graphic Depictions Of Violence,Work in Progress,English,"30,035",16,32,286,48,5542
Forbidden Thoughts,SnarryIsTheWay91,24407185,05 Jun 2020,Mature,F/M,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",Work in Progress,English,"10,326",4,4,7,1,402
unsphere the stars,cocoartist,24407335,30 Jul 2021,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"222,827",58,1040,2277,872,86610
hell is empty,scatter_heart,24407386,12 Jan 2021,Explicit,F/F,Choose Not To Use Archive Warnings,Work in Progress,English,"33,616",15,152,665,81,14509
Jeleniu trzym zgryz!,stillplainy,24407455,27 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,Polski,"5,088",1,0,1,0,48
我的世界·巫师服务器,tyughb,24407854,27 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,"9,103",1,0,46,9,772
"The Greenwood Chronicles Book 1 ""Of Fearsome Forests""",MoonGlum,24407875,13 Jun 2020,Teen And Up Audiences,No category,"Choose Not To Use Archive Warnings, Major Character Death, No Archive Warnings Apply",Work in Progress,English,"25,829",6,1,2,0,51
The Mania Within,bionically,24407926,28 May 2020,Explicit,F/M,Rape/Non-Con,Complete Work,English,"8,736",1,73,842,210,25021
Don't Dance Alone,MarauderChaos,24408040,29 May 2020,General Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"4,987",2,8,110,6,1839
【犬狼】Reach for a star,Mooncolony,24408055,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,"4,791",1,0,4,0,583
Unknown,waterwhosleepwho,24408109,27 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"10,379",23,0,17,3,865
nox [Art],nettleforest,24408163,27 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,0,1,1,63,1,1432
First,Antosha,24408190,27 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,684",1,0,25,4,894
Bloodstream,Ada_P_Rix (orphan_account),24408262,27 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"14,356",7,50,548,121,21325
Grave Mistakes,bratchet,24408298,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"5,519",1,4,58,7,915
Long Shadows,Minsky10,24408304,22 Jun 2020,Mature,"M/M, Multi",Graphic Depictions Of Violence,Work in Progress,English,"12,072",9,3,54,14,817
Football Boy and the Ultimate Girl,Stormblue8,24408607,28 May 2020,Mature,"F/F, F/M, M/M",No Archive Warnings Apply,Work in Progress,English,"4,865",3,3,9,4,360
Through the Lens,Beelsebutt,24408649,01 Aug 2012,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,0,1,0,1,0,38
Maybe (Jily Fic),waterwhosleepwho,24408856,08 Apr 2021,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"2,204",6,1,39,1,771
Book of xReader One-Shots!,TheAlphonseElric,24409021,22 Feb 2022,Teen And Up Audiences,"F/F, F/M, Other",Choose Not To Use Archive Warnings,Work in Progress,English,"48,619",80,132,1294,56,45976
Duty Calls,Aneiria,24409210,27 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"3,754",1,26,659,106,14106
Cooking with Love,Mersheeple,24409264,27 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,004",1,9,63,5,704
"Breakfast and a Show - April 11, 2020",banjo99,24409420,27 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,123,1,0,8,0,104
Dinner and a show – 4-11-2020,banjo99,24409444,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,87,1,2,9,0,133
Breakfast and a Show – 4-12-2020,banjo99,24409516,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,110,1,1,9,0,154
Dinner and a Show – 4/13/2020,banjo99,24409546,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,54,1,0,7,0,77
"Dinner and a Show, April 15, 2020",banjo99,24409561,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,149,1,1,9,0,71
"Dinner and a Show April 19, 2020",banjo99,24409600,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,144,1,1,10,0,73
VIRHE!,Beelsebutt,24409618,04 Aug 2012,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Suomi,301,1,0,0,0,56
"Breakfast and a Show, April 20, 2020",banjo99,24409627,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,178,1,1,9,0,91
Dinner and a Show 4/20/2020,banjo99,24409645,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,124,1,0,7,0,57
Breakfast and a Show 4/21/2020,banjo99,24409684,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,176,1,1,7,0,61
When I Need You,matters17793,24409705,13 Nov 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,338",3,2,43,3,1757
Breakfast and a show -4/22/2020,banjo99,24409720,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,244,1,2,8,0,59
Breakfast and a Special Show - 4/23/2020,banjo99,24409750,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,240,1,0,6,0,55
Piece by Piece,the_fandom_bookworm,24409843,03 Aug 2020,Not Rated,"Gen, Multi",No Archive Warnings Apply,Complete Work,English,"63,889",32,61,105,37,4419
Growing Old,Bandsarelife109,24409852,06 May 2021,Mature,"F/F, F/M, M/M","Rape/Non-Con, Graphic Depictions Of Violence",Work in Progress,English,"45,339",30,2,39,9,2016
Breakfast and a Show - 4/24/2020,banjo99,24409957,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,117,1,1,8,0,57
"Dinner and a Show, May 26, 2020",banjo99,24409999,27 May 2020,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,English,336,1,1,9,0,68
Solangelo go to Hogwarts 2,orphan_account,24410092,20 Jun 2020,Teen And Up Audiences,"F/F, M/M, Multi",No Archive Warnings Apply,Complete Work,English,"52,945",14,181,433,44,10138
"The Boy Who Lived, The Brightest Witch and The Boy Who Wasn't",dragonfly117,24410095,02 Nov 2021,Mature,"F/M, Gen",Choose Not To Use Archive Warnings,Work in Progress,English,"239,757",35,1739,3406,1257,152969
A silence has fallen over the Burrow,LuciusIII (orphan_account),24410113,27 May 2020,Not Rated,Gen,No Archive Warnings Apply,Complete Work,English,241,1,0,0,1,40
Reaching out,orphan_account,24410257,05 Oct 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"7,698",7,0,36,10,1385
Breeding Ground: Anything You Can Do,megamatt09,24410314,28 May 2020,Explicit,"F/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"3,094",1,0,19,8,7881
[PODFIC] Scars - Andromeda Black,Oceantail Podfics (Oceantail),24410593,27 May 2020,Teen And Up Audiences,No category,Graphic Depictions Of Violence,Complete Work,English,26,1,2,4,0,51
Thank Goodness For Daddy,nagemeikenu,24410626,21 Jul 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,116",1,6,31,3,470
You are in my heart,Dragonlytherin,24410854,27 May 2020,Explicit,M/M,"Choose Not To Use Archive Warnings, Rape/Non-Con",Complete Work,Español,"17,686",4,4,66,7,1499
Revolution,solskinn,24411004,25 Jul 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"16,778",14,29,137,20,3772
Nächtlicher Ausflug,Ginada,24411265,27 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,Deutsch,400,1,2,2,0,50
Proven Problematic,89JadedPictures,24411298,28 May 2020,Explicit,"F/M, Multi",No Archive Warnings Apply,Work in Progress,English,"3,720",3,2,27,8,1257
Harry is Raised by Stubby Boardman,DilynAliceBlake,24411301,27 May 2020,General Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,838,7,5,30,3,162
[PODFIC] Scars - Minerva McGonagall,Oceantail Podfics (Oceantail),24411325,27 May 2020,Teen And Up Audiences,No category,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,25,1,1,4,0,85
A Complete and Total Misuse of School Facilities,Hermione_Stranger,24411394,27 Aug 2020,Mature,F/F,No Archive Warnings Apply,Work in Progress,English,"39,762",6,62,225,35,8741
Forever,Antosha,24411436,27 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,392",1,0,23,1,564
Pranks from an Arsehole,HufflepuffMommy,24411532,27 May 2020,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,236,1,9,33,0,267
Matilda Wormwood and the Forbidden Forest,cbearsee,24411562,23 Dec 2021,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"31,518",11,34,132,25,2935
Malfoy To The Rescue,lovelybluegirl,24411772,27 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,098",1,34,390,26,4233
The Big Dipper,Bears_in_the_sky,24411796,11 Sep 2021,General Audiences,"F/F, F/M, M/M",No Archive Warnings Apply,Complete Work,English,"565,809",114,762,796,183,38799
The Sorting Hat's Underground Adventure,EclipseStoryWritter,24411856,28 May 2020,Not Rated,Other,Choose Not To Use Archive Warnings,Work in Progress,English,"2,368",2,12,63,8,511
The Busy Board,dracogotgame,24411976,27 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"3,735",1,47,1132,126,6714
Shapes,BeaconHill,24412006,30 Nov 2021,Teen And Up Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"29,458",7,42,264,82,5807
Neptune,bethejerktomybitch,24412051,27 May 2020,Mature,F/M,Graphic Depictions Of Violence,Complete Work,English,"2,193",1,2,29,2,436
"Whoa, Mama",mxstyassasxin,24412207,27 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,171",1,2,121,10,1575
The Bravest Man I Ever Knew,Glowstar826,24412231,27 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"5,434",1,9,204,17,2121
The Passenger,glasscandlegrenades,24412342,01 Jun 2020,Mature,F/M,Major Character Death,Work in Progress,English,"5,020",2,12,37,8,1138
Harry Potter; The Hidden Secret,MissScarlette1,24412480,30 Jun 2021,Mature,"F/M, Gen, Other","Choose Not To Use Archive Warnings, Underage",Work in Progress,English,"39,261",11,2,6,1,304
"So Die, You and I",BlindCupid,24412711,28 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,327",1,11,199,17,2663
Pumpkins,Pumperkins,24412792,27 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,387",1,3,101,10,1159
Grimmauld Place,zephsomething,24412846,27 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"3,107",1,6,27,1,340
Stay,blankvellum,24412900,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,245",1,5,91,1,1119
Saved from Detention,sunlightdaydream,24413203,27 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,629,1,13,51,5,863
Home to where I can return,Uzdef_ump,24413302,10 Jun 2020,Mature,M/M,No Archive Warnings Apply,Work in Progress,Русский,"1,586",2,4,9,0,196
Seeing Red,Ecmy94,24413332,27 May 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,Français,"4,222",1,0,2,1,29
do you believe in magic,vtforpedro,24413458,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"59,479",3,52,191,44,2425
The Return,orphan_account,24413476,10 Jun 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"30,300",8,2,32,10,1611
After the War,orphan_account,24413620,06 Jun 2020,Mature,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"30,386",7,1,32,8,1286
Harry Potter and the 'superhero' origin story,gooseontheloose,24413623,11 Apr 2022,Not Rated,"F/M, M/M",Graphic Depictions Of Violence,Work in Progress,English,"89,271",50,1915,2807,709,72310
Lilies and Irises,S2_501,24413641,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,999",1,9,149,13,1138
2 Horny Ghosts & the Seduction of Pansy Parkinson,CinnamonQuartz,24413737,29 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"92,907",56,14,41,12,956
"and when you need space to breathe, i'll leave (but who needs space from across the country?)",Czernyandlynch,24413764,19 Jul 2020,Not Rated,"F/F, F/M, Multi","Choose Not To Use Archive Warnings, No Archive Warnings Apply",Work in Progress,English,"5,212",2,4,26,4,268
𝓂𝑒𝑒𝓉 𝒽𝒾𝓂 𝒻𝑜𝓇 𝓉𝒽𝑒 𝒻𝒾𝓇𝓈𝓉 𝓉𝒾𝓂𝑒,heaven21,24413866,27 May 2020,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,695",1,0,12,0,473
Death Comes in Threes,Sroot90,24413980,05 Jun 2020,Teen And Up Audiences,"Gen, M/M","Choose Not To Use Archive Warnings, Major Character Death",Work in Progress,English,"27,888",11,7,76,23,2469
Ｉ ｗｉｌｌ ｐｒｏｔｅｃｔ ｙｏｕ,heaven21,24414025,04 May 2021,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"8,052",2,5,43,4,1000
Betrayal & Loss,PinkTink,24414103,28 May 2020,Teen And Up Audiences,F/M,Graphic Depictions Of Violence,Complete Work,English,"9,877",8,0,8,0,406
Two Hundred Word Drabbles - The Harmony Collection,IckleRonnikens,24414160,04 Jan 2022,Mature,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"15,790",38,8,98,8,2809
Tea with Ms. Black,Gette,24414370,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,342",1,5,112,7,1538
What You Know,LeatherlipsIero,24414490,27 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,532",1,12,19,0,209
Silent All These Years,Janieohio,24414559,28 May 2020,Teen And Up Audiences,Gen,Rape/Non-Con,Complete Work,English,"1,468",1,16,41,4,274
you're feeling that forever fall,bellairestrella,24414565,28 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,476",1,8,73,10,777
Running to a New Home,interdimensionalhitchhiker84,24414700,06 Oct 2020,Teen And Up Audiences,"M/M, Multi",No Archive Warnings Apply,Work in Progress,English,"12,764",5,62,272,92,5734
Magic's Chosen,MaskedKait,24414880,21 Mar 2022,Teen And Up Audiences,"F/M, Gen",Choose Not To Use Archive Warnings,Complete Work,English,"58,601",29,284,1195,446,30588
Something About The Clouds And Her Mixed,NidoranDuran,24414892,15 Apr 2022,Explicit,F/M,Underage,Work in Progress,English,"82,269",9,86,607,229,76741
This is how you get a cat.,inkpot (myexplodingcat),24414991,28 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"5,651",6,1,25,3,171
An uncertain future,UntestedFerns,24415273,28 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,054",1,0,19,2,339
you'll be counting stars,ElasticElla,24415624,27 May 2020,Teen And Up Audiences,F/F,No Archive Warnings Apply,Complete Work,English,400,1,2,30,1,191
One-Shots Of M A N Y Various Fandoms,left_with_our_hands,24415711,28 May 2020,Teen And Up Audiences,"F/F, F/M, M/M, Other",No Archive Warnings Apply,Work in Progress,English,"1,599",2,0,25,3,944
At Least His Stuff is Safe,ElizaCove,24415885,28 May 2020,Not Rated,No category,Graphic Depictions Of Violence,Complete Work,English,"2,180",1,12,315,24,2415
The Liars Department,DorthyAnn,24415939,28 Oct 2021,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"103,395",17,616,1657,561,40632
Nuanced,ThunderClatter (OhDear),24415981,12 Dec 2020,Not Rated,"M/M, F/M",No Archive Warnings Apply,Work in Progress,English,"63,894",10,24,65,11,1976
-Immer Angst-,Nerdyxwitch,24415987,29 May 2020,Mature,F/M,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"17,495",5,0,6,0,278
twistings and turnings,inkandstone,24416059,13 Jun 2020,Not Rated,"F/F, F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"11,159",3,9,49,11,748
Able,RobespierreforFrance,24416227,17 Apr 2021,Mature,Multi,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"22,437",11,90,847,197,16150
"Breakfast and a Show - May 27, 2020",banjo99,24416245,28 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,238,1,1,7,0,60
Hazy,rinnwrites,24416341,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,851",1,13,232,27,1808
In the Shadow of Tomorrow,Karita Wyr (karitawyr),24416410,28 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,214,1,2,13,1,309
"In which Harry visits the owlery a lot, Malfoy does too, Krum loves love, and it's all Fay Dunbars' fault",dracorights,24416452,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"33,486",23,235,1910,249,21195
Game Called (On Account of Rain),darkseraphina,24416827,27 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,690",1,8,245,31,2032
Innocent and Chained,Ida_Killdabitch,24416890,14 Jun 2021,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"43,683",14,38,149,40,4120
Crashing Down,alleychaton,24416908,28 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"2,696",1,3,49,1,798
The Worst Birthday Ever,MissCordeliaBlythe,24417154,28 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"1,530",1,1,0,0,80
The national consensus is an Angry panda is the most effective way to describe the Prime Minister,Pygmypuffonacid,24417193,22 Aug 2021,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"5,849",6,17,102,23,2690
Harry Potter and the vibes,ClutchCat,24417223,28 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,862",1,0,4,0,80
To Be Happy,Roguepen,24417280,28 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,723,1,0,4,0,215
Long Way From Home,Lucy_Luna,24417451,17 Mar 2021,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"112,384",22,68,94,10,2215
True Colors,stridermagic,24417517,28 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,083",1,4,138,13,1594
Study Break,Karita Wyr (karitawyr),24417583,28 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,747,1,0,78,6,1560
Run Away With Me,MoonytheMarauder1 (beforethemoon),24417868,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"2,864",1,9,124,12,1157
Dreville: Understanding.,Readingfanfics,24417952,28 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,446",1,10,123,6,1861
Stamina,Karita Wyr (karitawyr),24418048,28 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,598,1,0,81,2,1302
CC18's Kinky Shorts,CanonConvergence18,24418138,03 Jun 2020,Explicit,F/M,No Archive Warnings Apply,Work in Progress,English,"3,860",2,16,33,3,3336
Albus Potter and the Journey Through Time,Glowstar826,24418339,17 Jul 2021,Teen And Up Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"58,814",14,86,352,67,10481
Aller droit au coeur,BocaDeSerpiente,24418342,02 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Español,"17,229",4,14,65,4,1059
The Monster in Hagrid's Pants,Karita Wyr (karitawyr),24418504,28 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,652,1,0,5,0,169
In Which Pettigrew is Actually Caught,Huntress8611,24418531,12 Jun 2020,Teen And Up Audiences,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"2,773",4,35,550,36,7003
Bonds of Discipline,Kuronekochan,24418534,28 May 2020,Explicit,M/M,Underage,Complete Work,English,"4,402",1,45,820,66,26832
Purely His,princessbella,24418774,28 May 2020,Not Rated,F/M,"Graphic Depictions Of Violence, Major Character Death, Underage",Work in Progress,English,"1,183",1,5,21,3,1022
Delayed,curiouselfqueen,24418894,28 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,791,1,3,100,4,985
Plunder,Karita Wyr (karitawyr),24418921,28 May 2020,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"1,317",1,4,207,20,2141
Sophie Roper and the House of the Serpent,ReverendKilljoy,24418972,16 Jul 2021,General Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"17,165",5,10,7,5,215
Fading Scars,Simplistic_Apricity,24419545,28 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,616",1,10,168,17,2602
At Long Last,proudlygoingnowhere,24419761,02 Jul 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,0,1,15,218,13,2177
What is it like?,Count_of_Catterack,24420004,18 Jun 2020,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,"7,672",2,0,11,2,213
The Wizard's Pleasure,Acantha_Rayne_OakMoon,24420148,20 Oct 2020,Explicit,F/M,No Archive Warnings Apply,Work in Progress,English,"40,953",16,141,255,55,8602
More Than You Can Know,Persefonie,24420163,02 Oct 2021,Mature,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"25,247",14,89,366,59,9798
Ambrosia,Alessgrosskid (thatonegrosskid),24420289,31 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"4,292",1,4,51,6,521
Dodging Bludgers,grey_soul,24420298,01 Jan 2021,Mature,"F/M, F/F, M/M, Multi",No Archive Warnings Apply,Work in Progress,English,"58,349",5,19,49,11,1214
[Podfic] Potter's Snake Removal Services,artichaud,24420421,28 May 2020,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,17,1,21,86,18,2018
Return To Sender,HazardousWaste,24420490,28 May 2020,Mature,"F/M, Multi",No Archive Warnings Apply,Work in Progress,English,"3,195",2,3,16,3,267
【TRHP】晚安吻,Pumpkin_pie,24420610,28 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,300,1,0,3,1,306
Your Daddy Knows (You're A Flame),Ladderofyears,24420799,09 Jul 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"27,822",5,36,1042,218,22888
It's okay to be vulnerable,clapcleo,24421258,16 Jun 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"22,277",4,50,201,8,2973
You made me a mess,Pictureofnight,24421336,28 May 2020,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,811,1,0,18,1,263
A Time Imprinters Journey,mougiepuddycatlover,24421444,28 May 2020,Mature,F/M,Graphic Depictions Of Violence,Work in Progress,English,"7,677",3,7,49,17,641
Zielone Oczy,agispa,24421447,28 May 2020,Teen And Up Audiences,Gen,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death",Complete Work,Polski,"6,998",9,0,5,0,174
Redemption,Aerolysia,24421468,28 May 2020,Teen And Up Audiences,F/F,Choose Not To Use Archive Warnings,Complete Work,English,"2,908",1,4,75,4,886
